link,nces_id,link_proc
https://www.facebook.com/metroartsaz/,0400238,metroartsaz
https://www.facebook.com/miami-unified-school-district-40-506009799446452/,0405030,miami-unified-school-district-40-506009799446452
https://www.facebook.com/midtownprimaryelementaryschool/,0400370,midtownprimaryelementaryschool
https://www.facebook.com/mingusunion/,0405070,mingusunion
https://facebook.com/mohavelearning/,0400413,mohavelearning
https://www.facebook.com/morristown-mustangs-485923295082594,0405340,morristown-mustangs-485923295082594
https://www.facebook.com/murphyschools21/?eid=arcu9am70kldpbnb6xupxpeeuqhq2py8ngwg2z5uamv9nhigdlwp48ve78g-1xezrvvsorvxz6xbrmxs,0405400,murphyschools21
http://www.facebook.com/nacoelementaryschooldistrict23/,0405430,nacoelementaryschooldistrict23
https://www.facebook.com/nadaburg-unified-school-district-no-81-122748721117031/,0405460,nadaburg-unified-school-district-no-81-122748721117031
https://www.facebook.com/newworldeducationalcenter,0400401,newworldeducationalcenter
https://www.facebook.com/noahwebsterschools,0400340,noahwebsterschools
https://www.facebook.com/noahwebsterschool,0400340,noahwebsterschool
https://www.facebook.com/nogalesunifiedschooldistrict,0405530,nogalesunifiedschooldistrict
http://www.facebook.com/npaspartans,0400097,npaspartans
//www.facebook.com/homefacts,0400356,homefacts
https://www.facebook.com/ombudsmaneducation,0400103,ombudsmaneducation
https://www.facebook.com/omega-alpha-academy-school-354288051420705/,0400284,omega-alpha-academy-school-354288051420705
https://www.facebook.com/pages/arizona-youth-partnership/10150120105360145?ref=hl,0400868,pages/arizona-youth-partnership/10150120105360145
https://www.facebook.com/pageunifiedschooldistrict/,0405820,pageunifiedschooldistrict
https://www.facebook.com/painteddesertmontessori,0400949,painteddesertmontessori
https://www.facebook.com/psd49,0405880,psd49
https://www.facebook.com/pvschools,0405930,pvschools
https://www.facebook.com/pvschools/photos/a.161317320576467/3761711777203652/?type=3,0405930,pvschools/photos/a.161317320576467/3761711777203652
https://www.facebook.com/pvschools/videos/241482020595466/,0405930,pvschools/videos/241482020595466
https://www.facebook.com/pvschools/photos/a.161317320576467/3758195637555266/?type=3,0405930,pvschools/photos/a.161317320576467/3758195637555266
https://www.facebook.com/paramountacademytigers/,0400237,paramountacademytigers
http://facebook.com/intellischool,0400364,intellischool
https://www.facebook.com/pendergast-elementary-school-district-117261744956638/timeline/?ref=tn_tnmn,0406210,pendergast-elementary-school-district-117261744956638/timeline
http://facebook.com/phoenixadvantagecharterschool,0400109,phoenixadvantagecharterschool
https://www.facebook.com/scholarlyexpectations,0400109,scholarlyexpectations
https://www.facebook.com/sabis-international-school-166491520091550/?ref=hl,0400185,sabis-international-school-166491520091550
https://www.facebook.com/phxschools,0406300,phxschools
http://www.facebook.com/phoenixunion,0406330,phoenixunion
https://www.facebook.com/pimausd/,0406440,pimausd
https://www.facebook.com/login.php,0406510,login.php
https://www.facebook.com/pointe-schools-111631833877/,0400327,pointe-schools-111631833877
https://www.facebook.com/people/portable-practical-educational-preparation/100006686746122,0400083,people/portable-practical-educational-preparation/100006686746122
http://www.facebook.com/arizonavirtualacademy,0400432,arizonavirtualacademy
https://www.facebook.com/pusd1/,0406730,pusd1
https://www.facebook.com/prescottvalleyschool/,0400444,prescottvalleyschool
https://www.facebook.com/presidioschools,0400081,presidioschools
https://www.facebook.com/qesd4/,0406780,qesd4
https://www.facebook.com/qcusd,0406810,qcusd
https://www.facebook.com/ray-unified-school-district-1456341864671519/,0406850,ray-unified-school-district-1456341864671519
https://loginza.ru/api/widget?lang=en&token_url=http://www.new-dating.com/login_socialnet.php&providers_set=facebook,0406870,login_socialnet.php&providers_set=facebook
https://www.facebook.com/redrockschool,0406900,redrockschool
https://www.facebook.com/1023317147732257,0400850,1023317147732257
https://www.facebook.com/pages/reid-traditional-schools/292663904164594,0400034,pages/reid-traditional-schools/292663904164594
https://www.facebook.com/pauldenschool/,0400815,pauldenschool
https://www.facebook.com/ridgelineacademy/,0400031,ridgelineacademy
https://www.facebook.com/pg/ridgelineacademy/reviews/?ref=page_internal,0400031,pg/ridgelineacademy/reviews
https://www.facebook.com/riversideschools/?ref=ts,0407020,riversideschools
https://www.facebook.com/tonopah-valley-high-school-117948218255461/?ref=hl,0407170,tonopah-valley-high-school-117948218255461
https://www.facebook.com/pages/sage-academy/266447310037043,0400748,pages/sage-academy/266447310037043
https://www.facebook.com/salomek8,0400005,salomek8
https://www.facebook.com/saltriverschools/,0400047,saltriverschools
https://www.facebook.com/san-carlos-unified-school-district-20-185306084843293/?ref=ts,0406960,san-carlos-unified-school-district-20-185306084843293
https://www.facebook.com/scv35schools/,0407520,scv35schools
https://www.facebook.com/scdsaz,0400879,scdsaz
https://www.facebook.com/scottsdaleprep,0400747,scottsdaleprep
https://www.facebook.com/scottsdaleusd,0407570,scottsdaleusd
https://www.facebook.com/free-to-be-me-daycare-150513491694987/,0409733,free-to-be-me-daycare-150513491694987
https://www.facebook.com/socusd/,0409733,socusd
https://www.facebook.com/selfdevelopmentcharterschool,0400934,selfdevelopmentcharterschool
https://www.facebook.com/people/seligman-antelopes/100011029187010,0407630,people/seligman-antelopes/100011029187010
https://www.facebook.com/gilariverd5/,0400801,gilariverd5
https://www.facebook.com/www.sgrd.skylineschools.com.d5principal,0400801,www.sgrd.skylineschools.com.d5principal
https://www.facebook.com/skyviewschool/,0400093,skyviewschool
https://www.facebook.com/groups/solomonschoolparentsgroup/,0407860,groups/solomonschoolparentsgroup
https://www.facebook.com/somertonschooldistrict,0407890,somertonschooldistrict
